Player ID,Player Name,Player Team,Player Age,Player Height,Mins Played,tacklePerGame,interceptionPerGame,foulsPerGame,clearancePerGame,wasDribbledPerGame,goal,assistTotal,shotsPerGame,keyPassPerGame,dribbleWonPerGame,foulGivenPerGame,offsideGivenPerGame,dispossessedPerGame,turnoverPerGame,totalPassesPerGame,passSuccess,accurateCrossesPerGame,accurateLongPassPerGame,accurateThroughBallPerGame,xG,xGPerNinety,totalShots,xGPerShot,rating
1421,Janik Haberer,Union Berlin,30,187,912,0.9,0.4,0.7,1.2,0.6,0,0,0.5,0.1,0,0.4,0.1,0.3,0.1,22.4,77.7,0.1,0.9,0,0.52,0.05,9,0.06,6.26
1422,Craig Dawson,Wolves,34,188,969,1,0.6,0.4,3.4,0.2,0,0,0.3,0.1,0.1,0.3,0.1,0,0.1,37.2,86.7,0,2.9,0,0.37,0.03,5,0.07,6.26
1423,Ilkay Gundogan,Man City,34,180,1446,0.7,0.5,0.4,0.7,0.5,0,2,0.7,1.1,0.5,0.8,0,0.6,0.8,46.5,92.7,0.2,1,0.2,1.68,0.1,16,0.1,6.58
1424,Yassin Belkhdim,Angers,23,175,850,1.6,0.6,0.7,1,1,0,0,0.3,0.1,0,0.6,0,0.4,1.1,12.5,83.7,0,0.2,0,0.51,0.05,6,0.08,6.26
1425,Abdoulaye Toure,Le Havre,31,188,1437,2.4,1.4,1.3,1.6,0.8,3,1,1.4,0.2,0.7,1.5,0.1,1.2,1.1,34,83.5,0.1,2.7,0,3.66,0.23,25,0.15,6.67
1426,Woyo Coulibaly,Parma Calcio 1913,25,182,1085,0.9,0.6,0.9,1.4,0.4,0,1,0.2,0.6,0.6,0.9,0.1,0.8,1.4,36.9,88.4,0,0.6,0.1,0,0,0,0,6.26
1427,Mamadou Sylla,Real Valladolid,30,180,1040,0.2,0.1,0.6,0.5,0.1,3,2,0.9,0.5,0.2,0.9,0.6,0.5,1.5,8.6,66.5,0,0.2,0,3.57,0.31,17,0.21,6.25
1428,Oscar Valentin,Rayo Vallecano,30,177,1424,1.8,0.8,1.7,1.7,1.2,0,0,0.2,0.4,0.2,1,0,0.2,0.6,24.7,81.2,0,1,0,0.46,0.03,4,0.12,6.53
1429,Lucas Vazquez,Real Madrid,33,173,1405,1.9,0.6,0.9,0.8,0.9,1,3,0.6,1.1,0.7,0.9,0.1,0.3,1,45.4,89.8,0.3,1.2,0,1.53,0.1,12,0.13,6.69
1430,Bamba Dieng,Angers,24,178,480,0.3,0,0.5,0.2,0.1,3,0,0.9,0,0.1,0.8,0.2,0.5,0.7,5.7,78.8,0.1,0,0,2.88,0.54,13,0.22,6.25
1431,Pasquale Mazzocchi,Napoli,29,183,607,0.6,0.2,0.4,1,0.4,0,0,0.1,0.3,0.3,0.3,0.1,0.6,0.8,11.1,84.1,0.2,0.3,0.1,0.15,0.02,2,0.07,6.25
1432,Tanguy Coulibaly,Montpellier,24,179,660,0.9,0.3,1.5,0.1,0.5,2,0,1.2,0.7,1.1,0.7,0.1,0.9,1.8,11.4,79.5,0,0.1,0,2.94,0.4,18,0.16,6.25
1433,Flynn Downes,Southampton,26,178,1519,1.9,1.3,2.1,1.7,0.9,1,0,0.5,0.6,0.2,1.5,0,0.8,0.6,43.1,90.5,0,0.8,0.2,0.82,0.05,9,0.09,6.25
1434,Yukinari Sugawara,Southampton,24,179,1349,1.1,0.4,0.5,1.7,0.4,1,1,0.5,0.7,0.3,0.4,0.2,0.1,0.6,26.5,84.8,0.5,0.6,0,0.39,0.03,11,0.04,6.25
1435,Pierrick Capelle,Angers,37,181,411,1.5,0.6,0.7,0.4,0.6,0,0,0.4,0.4,0.4,0.1,0.1,0.3,0.9,12.6,80.8,0.1,0.4,0.1,0.19,0.04,6,0.03,6.25
1436,Jonas Martin,Brest,34,184,457,0.8,0.5,0.5,0.8,0.4,1,0,0.2,0.2,0.2,0.8,0,0.3,0.3,20.5,88.4,0.2,0.9,0,0.74,0.14,3,0.25,6.25
1437,Antonio Sanabria,Torino,28,180,1125,0.1,0,0.6,0.4,0.1,2,1,0.8,0.4,0.2,0.6,0,1,1.2,10.6,80.7,0,0.1,0,2.42,0.19,16,0.15,6.25
1438,Miguel de la Fuente,Leganes,25,182,1573,0.6,0.2,0.9,0.8,0.4,1,3,1.2,0.3,0.3,1.2,0.4,0.9,2.7,8,58.8,0,0.2,0,4.59,0.26,29,0.16,6.25
1439,Ado Onaiwu,Auxerre,29,180,601,0.3,0.1,0.2,0.4,0.2,2,0,0.9,0.3,0.3,0.4,0,0.7,0.8,10.1,74.4,0.1,0.1,0,3.73,0.56,19,0.2,6.25
1440,Adama Traore,Fulham,29,178,1380,0.5,0,0.7,0.1,0.3,2,5,1.3,1.2,1.5,1.1,0,0.6,1.1,15.1,80.6,0.8,0.3,0,4.95,0.32,34,0.15,6.71
1441,Justin Devenny,Crystal Palace,21,184,311,0.8,0,0.3,0.6,0.4,1,0,0.5,0.4,0.2,0,0.1,0.2,0.7,9.1,78.8,0.2,0.2,0,0.62,0.18,6,0.1,6.24
1442,Issa Doumbia,Venezia,21,187,619,0.6,0.5,0.8,0.6,0.4,0,0,0.6,0.2,0.4,0.5,0,0.9,1.1,11.8,79.4,0,0.1,0,0.93,0.14,8,0.12,6.24
1443,Stefan Lainer,Borussia M.Gladbach,32,175,447,0.9,0.4,0.4,1.2,0,0,0,0.1,0.3,0.3,0.3,0,0.3,0.2,15.5,84.9,0.2,0.4,0.1,0.02,0,1,0.02,6.24
1444,Patrick Drewes,Bochum,32,194,1845,0,0,0,0.8,0,0,0,0,0,0,0.1,0,0,0,36.2,63.7,0,11,0,0,0,0,0,6.24
1445,Tom Cairney,Fulham,34,185,409,0.4,0.2,0.3,0.1,0.2,1,0,0.2,0.4,0.2,0.8,0,0.2,0.2,24.8,93.5,0.2,0.5,0,0.18,0.04,4,0.04,6.24
1446,Oliver Burke,Werder Bremen,27,188,262,0.4,0.1,0.4,0.1,0.1,2,0,0.8,0.3,0.1,0,0,0.3,0.6,5.9,58.9,0,0.1,0,1.7,0.58,12,0.14,6.24
1447,Alieu Njie,Torino,19,185,381,0.3,0,0.8,0.1,0.2,1,0,0.6,0.3,0.4,0.8,0.1,0.6,0.9,5.2,69.9,0.1,0.2,0.1,1.04,0.25,9,0.12,6.24
1448,Darko Lazovic,Verona,34,181,1378,0.8,0.5,0.4,1.6,0.7,1,3,0.7,0.8,0.3,0.2,0.2,0.3,0.4,15,66.6,0.6,0.5,0,2.33,0.15,17,0.14,6.41
1449,Yussuf Poulsen,RBL,30,192,260,0.6,0,0.2,0.7,0.2,0,0,0.5,0.1,0.1,0.9,0,0.6,0.7,6.6,62,0,0.1,0,1.7,0.59,7,0.24,6.24
1450,Moritz Broschinski,Bochum,24,190,1178,0.8,0,0.8,0.5,0.4,1,3,1.4,0.3,0.3,0.7,0.2,1.2,2.5,9,67.8,0.1,0.1,0,4.28,0.33,34,0.13,6.23
1451,Guillermo Maripan,Torino,30,193,1351,1.5,1.2,0.9,3.9,0.4,1,0,0.4,0.2,0,0.3,0.1,0.2,0.7,46.4,87.6,0,2.6,0.1,0.78,0.05,7,0.11,6.73
